"Company Name",Address,Place,Zip,Sector,Product,Website,Region
"1 Solar Inc",,California,,"Renewable Energy,Solar","Early-stage startup from Sandia National Laboratories, developing technologies for 15-year inverters for solar and other renewable energy systems.",,
"12 Voltz Limited",,"Cumbria, United Kingdom","LA8 9NH","Renewable Energy,Solar,Wind energy","Selling and delivering broad range of advanced energy generating systems and accessories including wind turbines, solar panels, batteries,regulators,and stables, and as well as developing renewable energy technology and related products.",,
"1366 Technologies","45 Hartwell Avenue","North Lexington, Massachusetts",02421,Solar,"Developer of technologies for enhancing PV efficiency, including new cell wiring and wafer packaging systems.",http://www.1366tech.com/,
"1st Light Energy, Inc.","3224 McHennry Ave Suite F","Modesto, California",953650,Solar,,http://1stlightenergy.com,"Southern CA Area"
"21 Century Solar Inc",,"Garland, Texas",75042,Solar,"Privately-owned Garland-based manufacturer of solar-grade polysilicon.",,
"21-Century Silicon, Inc.","1681 Firman Drive, Suite 103","Richardson, Texas",75081-1881,Solar,"Solar Grade Silicon >99.9999% purity",http://www.21-CenturySilicon.com/,"Texas Area"
3Degrees,"407 Sansome","San Francisco, California,United States",94111,"Bioenergy,Biofuels,Biomass,Buildings,Carbon,Geothermal energy,Hydropower,PRIMRE,Renewable Energy,Services,Solar,Wind energy","Environmental Commodities",http://www.3degreesinc.com/,"Bay Area"
3E,,"Brussels, Belgium",,"Buildings,Hydropower,Services,Solar,Wind energy","Provides engineering and consultancy services in the fields of solar energy, wind energy, hydropower and energy in buildings.",,
3GSolar,,"Jerusalem, Israel",97774,"Renewable Energy,Solar",,,
"48th Research Institute of China Electronics Technology Group Corporation",,"Changsha, Hunan Province, China",410111,Solar,"A microelectronic equipment producer and also a solar cell and equipment manufacturer.",,
"4th Day Energy","38886 River Belle","Tollhouse, California",93667,Solar,"Solar electric systems",http://www.4thdayenergy.com,"Southern CA Area"
"5N Plus Inc",,"Quebec, Canada",,Solar,"Canadian manufacturer of high-purity metals and compounds for electronic applications.",http://www.5nplus.com/index.php/en/,
"6N Silicon Inc",,"Mississauga, Ontario, Canada","L5T 1E6",Solar,"Canadian manufactuer of upgraded metallurgical silicon for solar industry.",,
"808 Investments LLC",,"Huntington Beach, California",92649,Solar,"California-based boutique investment banking firm focusing on solar and cogeneration project development or acquisition.",,
"8minutenergy Renewables, LLC","111 Woodmere Road, Suite 190","Folsom, California",95630,Solar,"California based project developer",http://www.8minutenergy.com,
"9REN Group formerly Gamesa Solar",,"Madrid, Spain",28002,Solar,"Spanish company active in PV and solar passive system installation and PV project development.",,
"A O Smith",,Wisconsin,,"Efficiency,Hydropower,Solar","Wisconsin-based based company that makes both water heating equipment and electric motors and also is in the water treatment business. Its water heating focus includes a focus on high-efficiency and solar-suitable equipment.",http://www.hotwater.com/,
"A P van den Berg",,"Heerenveen, Netherlands","P.O. Box 68, 8440 AB","Geothermal energy,Solar","Designs and installs soil investigation systems, geothermal systems,producer of heat pumps, heat pump boilers, solar collectors and solar boilers.",,
"A to Z Solutions","133 W 6th Street, Suite #2931","Tempe, Arizona,United States",85281,Solar,"solar panels,solar installations,solar financing",https://atozsolutionsaz.com/,
"A1 Sun, Inc.","1435 4th St.","United States,Berkeley, California",94710,Solar,"Solar PV Design and Installation",http://www.a1suninc.com,"Bay Area"
"AAB Asia Alliance Base International",,"Beijing Municipality, China",101309,"Solar,Wind energy","Manufacturers and sells small-scale wind turbines, solar PV and wind/ hybrid solar PV systems, primarily for domestic use.",,
"ABC Solar, Inc.","24454 Hawthorne Blvd","Torrance, California",90505,Solar,"Solar power systems, products",http://www.abcsolar.com/,"Southern CA Area"
"ABS Alaskan Inc","2130 Van Horn Rd.","Fairbanks, Alaska",99701,"PRIMRE,Solar,Wind energy","Solar PV, Solar thermal, Wind, Hydro, Small scale wind turbine (up to 1kW) and solar systems distributor.",http://www.absak.com/,"United States"
